s.no,text,stanford_sentiment,stanford_qa
1,comment,neutral,unpredcitable
2,"Afternoon Tom, where in the convention center is the event taking place? Second floor first floor or downstairs?",unpredcitable,Q
3,"Tonight's talks are available on our YouTube page! 

Click the link to see all the great talks from tonight:
https://www.youtube.com/playlist?list=PLUj8-Hhrb-a3lFkoKDpZlOnTFK8SLzMcR",negative,unpredcitable
4,Starts in Ballroom B on top floor. Exhibits are on bottom floor north side,neutral,unpredcitable
5,Can't wait to see the photos from the photo booth!,negative,unpredcitable
6,Thanks Charles.,positive,unpredcitable
7,"My name is Michael Ajayi.  I am the Founder and CEO of the Africa University Fund. AUF is a crowdfunding platform where university students in Africa can raise academic funds from donors all over the world. I am currently looking for a technical cofounder, who will help with web development. Please reach out 919-551-4070 www.africaunifund.com",negative,unpredcitable
8,I had this sudden chill & headache this morning 🤒 sadly I'll miss it tonight. Have a great time everyone!,negative,unpredcitable
9,"Mike,  let us speak.",neutral,unpredcitable
10,Thanks Chris. You can reach me at Info@africaunifund.com or 9195514070,negative,unpredcitable
11,Does anyone have experience with a .biz domain causing problems with email messages being marked as SPAM?,negative,Q
12,"Getting very excited about tomorrow's event.  We have great exhibits, speakers, food and a huge crowd!  Please note that the speakers will start promptly at 5:35, right after the final All Things Open Session ends at 5:30.  Please be on time at Ballroom B.  (If you arrive a few minutes early, step in for the closing keynote from Red Hat's Chief Technology Officer - it will be great!)",positive,unpredcitable
13,It's going to be great!,positive,unpredcitable
14,Do to some travel schedule issues we couldn't do it this year!,neutral,unpredcitable
15,"Looking forward to seeing everyone tonight!  RIoT programming will begin when All Things Open programming ends for the day, at 5:30pm in Ballroom B.  The exhibit tables will be located in the Mezzanine (lower level) of the Convention Center and will be open until 8:30pm.  For helpful directions and parking tips, please visit https://www.raleighconvention.com/directions",negative,unpredcitable
16,Check out the Exhibitor Guide for tonight: tinyurl.com/iotdemonight,negative,unpredcitable
17,Are we not doing the Food Bank this year?,neutral,Q
18,"Looking forward to seeing everyone on Monday!  For helpful directions and parking tips, please visit the Raleigh Convention Center website: https://www.raleighconvention.com/directions",neutral,unpredcitable
19,"We are less than a week away from IoT Demo Night.  There are still a few spots left for this fantastic event, so please feel free to invite a colleague, friend, or family member - please just make sure they register.  Thank you!",neutral,unpredcitable
20,Thank you for organizing this. I am looking forward to being there!,positive,unpredcitable
21,"Hi Tracy, will there be any live broadcast?",negative,Q
22,"Traffic will probably be crazy due to the Kesha/Macklemore concert.  https://www.livenation.com/events/754387-jun-14-2018-the-adventures-of-kesha-and-macklemore

Will there be a livestream or recording?

Thanks!",unpredcitable,Q
23,Will a recording be available?,neutral,Q
24,Did the change the date?. I had a reminder message that it was 6.20 but it was 6.19 and I did go ad I wanted to meet some friends in Berkeley after 9 pm .... so I had 3 hours in my hands,,
25,"Progressive Web Apps, Tenserflow 2.0, pizza, drinks and a wonderful networking time tonight! See you all soon!!",positive,unpredcitable
26,What building ?,neutral,unpredcitable
27,Gillet Hall. Near gates 5 or 6,neutral,unpredcitable
28,"We're enjoying the keynote, good company, food thanks to our sponsors and partners! Google, xMatters, Lehman College",positive,unpredcitable
29,"All:
Here are the links to the recordings and the slides.

Complete Playlist: http://bit.ly/sfhtml5websecurityplaylist 

Individual talks:
Parisa Tabriz—Do Know Evil 
Slides: http://bit.ly/sfhtml5doknowevil 
Video: https://www.youtube.com/watch?v=Yg5g2aMKbNA

Tim Willis—Ca$h for Bugs
Slides: http://bit.ly/sfhtml5cashforbugs 
Video: https://www.youtube.com/watch?v=bQmqmLrGhpc

Eduardo Vela Nava—Vulns shouldn't compile
Short link: http://bit.ly/sfhtml5vulnsshouldntcompile
Video: https://www.youtube.com/watch?v=y7Wk7d3ICLA

Joel Weinberger—3 steps to safety
Slides: http://bit.ly/sfhtml53stepstosafety 
Video: https://www.youtube.com/watch?v=X1ZFjOZMSQg

Q&A panel
video: https://www.youtube.com/watch?v=o8oqYceKriQ

Raw feed
video: https://www.youtube.com/watch?v=oAYjZy1Nuyg",negative,unpredcitable
30,Thanks so much for a lovely event!,positive,unpredcitable
31,"Thanks, Peter! And thank you, Vanessa:) You guys are awesome",positive,unpredcitable
32,Excellent!,neutral,unpredcitable
33,"[masked] Dear Vanessa, Peter, and all the very kind people that made the event informative and interesting, Thank you, very much, for a very enjoyable evening! The Vintner, Grant Ramey was especially nice. Oh, and the wine was pretty darn great too. And, someone moved my cheese, hee,hee. You know who you are... Be well to all. v",,
34,"Minus two stars for Google SF for an extremely rude lobby man. He told my party of 8 we didn't read the sign, which had directions for g-glass to floor 5, and something on floor 4, but zero mention of the meetup on floor 6. I told him the sign has no mention of the meetup, and he directly insulted me by saying ""let me talk to someone else, who has an education"". Absolutely awful way to treat your guests.",,
35,"Seeing everyone here is making me think a trip back to SF is in order soon. I'm still waiting to finally talk to Kate in person. Even if we live in the same city now. 
My question would be, if you are a founder, acting as a community manager, how do you separate yourself from the community so if you were to leave, the community would still exist?",negative,Q
36,https://www.slideshare.net/AanchalBatra4/presentation-121291593,neutral,unpredcitable
37,"I have to say that if there was a commercial interest the talk would have been about the Chef features in the product.We just wanted to share experiences and spread the jclouds-chef word, and that's why we chose to talk about how we use it internally in our CI workflows. Really nice meetup guys! It's been nice to meet you all!",,
38,"@Jason, I am really sorry about this. I am following up with the event staff about this.",neutral,unpredcitable
39,"Thank you Peter. For my comment above, its solely aimed at the building management, and really appreciate you following up. For the actual event, it was 5 stars, and another great meetup.",neutral,unpredcitable
40,"[masked] Dear Jason, Maybe, he was in a low mood, maybe... I would not take it personally. Be well. v",negative,unpredcitable
41,"Waiting for those slides :)
Thank you for a good time!",positive,unpredcitable
42,The sketches (in the meetup photos) are really great. Who is the artist?,positive,Q
43,Glad you like them. It's the very talented artist Auguste Haboush who decided to drop by.,positive,unpredcitable
44,I liked them too. Who is Auguste Haboush? Where is he from?,neutral,Q
45,He teaches art at the SF Academy of Art University.,neutral,unpredcitable
46,"I felt that the talks were well-coordinated with each other to give an cohesive overview of the major issues. So any single talk was strong and good in itself, but the sequence was logical in a way that they added to each other. I think the break times are great if you are with some other people, drinking, and have to go to the bathroom each time. Sadly, I only could have one dessert as they ran out, but this is probably a feature and not a bug, to prevent diabetes.",,
47,Last presentation was the best. I felt the waiver to enter was overly broad and should have been limited to the event.  Google were fantastic hosts otherwise,negative,unpredcitable
48,"FWIW, the form had the exact date, event name, and location on it.",neutral,unpredcitable
49,"Thanks, Peter! I didn't see that information specified anywhere on waiver, but I would have gladly signed had I seen that information.",negative,unpredcitable
50,"Fun times, great talk, and awesome location!",positive,unpredcitable
51,This was a very good group of talks about security. A lot of useful and easy to understand examples.,positive,unpredcitable
52,"Although all the 4 talks tonight were excellent, great food, music. I just wish if the breaks in between we're that long, we can be out earlier before 10 and be home on time for people with long commute. Overall meetup was excellent and thanks!",neutral,Q
53,"This was great! Very informative. Thank you so much, Katie.",positive,unpredcitable
54,typo: were not*,neutral,unpredcitable
55,"I agree, shorter breaks would be better",negative,unpredcitable
56,My favorite SFHTML5 meetup so far,positive,unpredcitable
57,Thanks Peter & Vanessa & the team from Google for hosting! Great talks; good eats; interesting convos:),positive,unpredcitable
