s.no,text,labelled_sentiment,stanford_sentiment,stanford_qa
1,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,positive,unpredcitable
2,@Apple will be adding more carrier support to the iPhone 4S (just announced),positive,neutral,unpredcitable
3,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,positive,unpredcitable
4,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,negative,unpredcitable
5,I just realized that the reason I got into twitter was ios5 thanks @apple,positive,negative,unpredcitable
6,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone",positive,negative,unpredcitable
7,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,negative,unpredcitable
8,Great up close & personal event @Apple tonight in Regent St store!,positive,positive,unpredcitable
9,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,positive,Q
10,"Just apply for a job at @Apple, hope they call me lol",positive,negative,unpredcitable
11,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,positive,negative,unpredcitable
12,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,negative,unpredcitable
13,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,positive,unpredcitable
14,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,positive,unpredcitable
15,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,positive,unpredcitable
16,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ,positive,negative,unpredcitable
17,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",positive,negative,unpredcitable
18,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.",positive,negative,unpredcitable
19,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,positive,negative,unpredcitable
20,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,negative,unpredcitable
21,@DailyDealChat @apple Thanks!!,positive,positive,unpredcitable
