Tweet,Tags,Suggested_Tags
"Hey Twitterverse: When you're looking to contribute to an #OpenSource project, what items make you really excited about a particular project vs. another? A good getting started guide? An obviously engaged community? An ambassador program? Inquiring minds want to know!",['contribute'],"['program', 'items', 'contribute', ‘project’,’OpenSource']"
"RT @fresheventsfl: Companies like Microsoft,  Google and others have large DevRel teams, but does DevRel make a difference in the day-to-da…","['rt', 'microsoft']","['DevRel', ‘difference’,’microsoft’,’Google’]"
RT @Bitergia: Great article from @mary_grace about how effectively track the efforts and contributions of companies #DevRel teams. Basicall…,"['track', 'article']","['track', 'DevRel', 'article']"
"RT @editingemily: It doesn’t matter what you believe, or what side you’re on, or what your experience has been. 

We learn from others. Thr…","['rt', 'learn']",[]
"RT @RohitGuha96: The Truth About DevRel &amp; How To Make It Work | OpenView 
https://t.co/6HZ55MgXRG 

@mary_grace thanks for your insights","['https co', 'https t co', 'rt']","['co', 'DevRel', ‘https’,’insights']"
RT @ellenkorbes: Casually catching up on the latest issues of #DevRelWeekly (by @mary_grace) when suddenly... Surprise! I'm mentioned there…,['rt'],[‘DevRelWeekly’]
@IAmJerdog Glad you’re finally on your way home!,"['glad', 'finally']",[]
@annthurium @mistermocha @zinczar #winning https://t.co/lVa5bwFsUI,"['https co', 'https t co']","['co', 'https']"
"RT @OpenViewVenture: The real value developer relations teams provide is in the connections they make, so it's important to understand that…","['rt', 'connections', 'important']","[‘developer relations’,’ connections’]"
@zinczar Troutsers! https://t.co/OccZjqvHjX,"['https co', 'https t co']","['co', 'https']"
"RT @TheCR: ""Developer Relations"" have been buzzwords in the tech industry but what does the phrase actually mean? And how does it differ fr…","['rt', 'phrase', 'mean']","['developer relations', 'mean', ‘phrase’,’tech']"
"RT @remotesynth: Companies like Microsoft and others now have huge DevRel teams, but what difference does it make to you? @mary_grace will…","['rt', 'microsoft']","['DevRel', ‘difference’,’microsoft']"
@breanneboland I truly enjoyed both posts 👏 Thanks for taking the time to write it all out (and for doing the hard work that you wrote about 😊).,[],"['out', 'posts', 'write', 'time']"
@gitbisect 😔 Sending hugs and well-wishes. Let us know if there’s anything we can do to help?,['hugs'],"['let', 'help']"
"Best. Feeling. Ever. 

#AchievementUnlocked #WeHaveArrived 

😂😂

No but seriously... we exchanged very excited high fives on the way out the door. 🙌🎉😅 https://t.co/V3Q13DkL32","['https co', 'https t co']","['out', 'co', 'https']"
@yashovardhan DM me your email address and we’ll figure something out 😊,"['dm', 'email address']","['figure', 'dm', 'email', 'address', 'out']"
"@alexfinnarn @yashovardhan thanks for the recommendation, @alexfinnarn! 😊 @yashovardhan - I’m so glad the newsletter has been helpful for you! Let me know if there’s anything I can do to help you get a copy of the book. Would an ebook copy work? 🤔","['book', 'recommendation', 'glad', 'newsletter']","['help', 'let', 'copy', ‘newsletter’,’recommendation’,’ebook’]"
@dstevensio @DevRelians you got it!,[],[]
"@PeterKimFrank @bendhalpern @jessleenyc ahhh I freaking LOVE that analogy! It works particularly well for me considering I often need my office clean before I can truly focus on work. Maybe this is the same “cleaning” process, but for my mind.","['clean', 'focus']","['this', 'Clean', 'focus', ‘process’,’analogy']"
"tfw you're being über productive on everything except the thing you're supposed to be focusing on... 🙃

productive procrastination at its finest! 😏",[],"['except', ‘ber’,’productive']"
@zinczar what do you call pants that a fish wears?,"['pants', 'fish']","['fish', 'pants', 'call']"
"RT @adrianspeyer: Join me next Thursday, I'll be sharing how community can truly be part of your #CX &amp; not only be a buzzword. RSVP: https:…","['rt', 'join', 'sharing', 'https']","['https', 'join', 'sharing', 'next', 'RSVP']"
RT @TwitterSRE: Many thanks again to @annthurium and @mary_grace for coming out and speaking last night! Truly an excellent array of topics…,"['array', 'rt']","['array', 'out']"
@dstevensio I know a number of folks who would be interested! Do you have a link? I'm happy to include it in the #DevRelWeekly job listings as well as post it in the recruiting channel for @DevRelians.,"['channel', 'happy', 'listings']","['post', 'link', 'listings', 'include', 'channel', ‘job’,’DevRelWeekly']"
"RT @yashovardhan: Hey people!
I am looking for some nice resources to prepare myself for #DevRel interviews

Can you suggest me some?","['resources', 'rt', 'prepare']","['DevRel', 'prepare', 'resources']"
RT @IAmJerdog: Twitterverse... Looking for some video hardware to record meetups / workshops... Any ideas?,"['video hardware', 'rt', 'record']","['any', 'hardware', 'video', 'Meetups', 'Workshops', ‘record’]"
@compiledwrong It was such a pleasure to get to know you this evening! 😊 I’ll be diving into Libby as well as Rien’s Rebellion ASAP. 🙌🎉,[],[]
@zinczar @annthurium @mistermocha @TwitterSF I was honored to speak! It was great to meet you afterward 😊,[],[]
"RT @zinczar: HUGE thanks to @mary_grace, @annthurium, @mistermocha &amp; @TwitterSF for a great #SRE #DevRel event. https://t.co/BMolyQAZmy","['https co', 'https t co', 'rt']","['co', 'DevRel', ‘https’,’event']"
"@ChrisShort @ember_dog Likewise! Sacrificing a few hours of work was totally worth it! 😅😜 Also, @ember_dog is the best foot warmer ❤️",[],[]
I’m so grateful for the fact that I’ve got “talk buddies” around the world 😁 It was so great supporting @ChrisShort during his talk this afternoon and he returned the favor for my talk tonight! #DevRelLife #Community 🤗 https://t.co/KG9MkBHppt,"['https co', 'https t co']","['DevRelLife', 'https', 'fact', 'co', 'Community']"
RT @ChrisShort: I really appreciate this slide from @mary_grace. So much happiness. #DevRel https://t.co/Sduk4HW8pS,"['https co', 'https t co', 'rt', 'slide']","['DevRel', 'slide', 'https', 'co', 'rt']"
@annthurium @TwitterSRE Thanks so much 😊,[],[]
"RT @annthurium: ""Developer Relations is the connective tissue between companies and communities, as well as between teams in the company.""…",['rt'],"['communities', 'Developer Relations']"
@bandarji @ember_dog Thanks! It was great chatting with you afterward as well.,[],[]
"RT @bandarji: Developer Relations:

""To the community, I represent the company. To the company, I represent the community.""

Great #DevRel…",['rt'],"['community', 'DevRel']"
RT @KristinCMartin: SF Reliability Engineering meetup. @mary_grace talks Developer Relations #devrel (with @ember_dog!) #techmeetup #sf #sr…,"['sf reliability', 'rt', 'meetup']","['techmeetup', 'DevRel', 'Developer Relations', 'meetup']"
@compiledwrong 😊😊💖💖 this tweet made me smile so hard my face hurts.,['smile'],[]
@jtviolet @shannonlucas @lyft @DevRelians DevRel Slack! 😊,['slack'],"['DevRel', 'Slack']"
"Anyone who speaks on a regular basis, here’s a fantastic #ProTip from @annthurium. 

#DevRel #CMgr #speaking #TechTalk https://t.co/S4UajgEYPR","['https co', 'https t co', 'basis']","['https', 'DevRel', 'basis', 'co', 'techtalk']"
