s.no,comment,tags
1,"Would adding the SHA to the version line in the CODE_OF_CONDUCT.md file do what you’re talking about?
",['sha']
2,"I just got here looking for the same thing - wanted to link off to a canonical URL for a version in my PR with an update. Any objection to tagging commits that contain version bumps? Seems like an easy win! :trophy: 
",['canonical']
3,"+3, though perhaps this should be three separate issues.

With regard to any form of enforcement clause: this is different in kind than the rest of the statement – it is less universal.  As different projects have different enforcement needs, defining that policy here will tend to limit uptake of the CoC.

With regard to the current specific enforcement clause, it is probably too vague. Legal documents are not really English or (choose your favorite language), though they appear to be.  They are more like code, and the legal system is the compiler.

Laying out a process of termination definitely steps into the territory of legalities, but the compiler tends to choke on anything not written by a lawyer.  For example, under US law, a person has certain inherent due-process rights.  If an enforcement process abrogates those rights, then the enforcement clause may be unenforceable.  And if one clause in a document is bad, then the whole document may be void unless something called a ""severability clause"" was included.

You would have to get a lawyer to explain the whole can of worms; I only know that it is a can of worms.  Without an enforcement clause, I believe it is clear that contributors serve ""at the pleasure of"" the project leader/s.
",['leader']
4,"I have created PR #79 to address this.
",
5,"Seconded.  Scripting out periodic discovery/update shouldn't be too difficult in nearly all cases, either.
",['periodic']
6,"> While this clause is well-intentioned, I feel that its directives are too vague to be effective: it states that a violator may be removed, but specifies neither who has the right to finalize this decision, nor the criteria and procedures to do so.
> 
> A fuzzy policy enforced within the soft, informally defined power structures characteristic of most OSS projects would merely legitimize whatever the leaders wish to do. In starker terms, I am afraid that it would have no effect.
> 
> For the policy to be effective, we would need to define clear guidelines that could be applied in a wide variety of contexts and cases. A daunting task that seems very prone to mistakes, pernicious quibbles, and deliberate neglect.

I believe this is exactly what is going on in the opal.rb project. :disappointed: 
",['opal']
7,"I believe this issue can be closed as we now use canonical URLs for the Covenant.
",['canonical']
8,"Another tool that does something similar: https://creativecommons.org/choose/
",
9,"A suggestion: this could be done in software.  E.g. a tool (probably web-based) that allows project owners to pick & choose which values and areas are important to them, and then generates a CoC to use.

I'm imagining something like this:

https://github.com/RailsApps/rails-composer#build-your-own-application
",['web based']
10,"I would like to work on the Licensing part.How Do I Start?
",['licensing']
11,"souravsingh, if you wanted to research, document, and recommend creative commons licenses that would maybe be a way to contribute?
",['licenses']
12,"How about a Slack integration that pings the specified channel whenever a change happens to this repository, or specifically when the version is updated?
",['slack']
13,"How is it known that projects adopt the covenant? If it's from here, i agree, it could be based on this github, or from forks.. some reminder to update their version of the covenant on their projects... I'd love to help if i can! trying to do 24PullRequests :) 
",['github']
14,"this other issue is related: #136 
",
15,"See #168 
",
16,"Beautiful, thank you!

> On Dec 10, 2015, at 3:52 PM, Emil Shakirov notifications@github.com wrote:
> 
> Hello @CoralineAda https://github.com/CoralineAda! I just start working on this, I'll add my PR shortly.
> 
> —
> Reply to this email directly or view it on GitHub https://github.com/CoralineAda/contributor_covenant/issues/153#issuecomment-163760028.
",['github']
17,"Hello @CoralineAda! I just start working on this, I'll add my PR shortly.
",
18,"Information which is freely given in the form of a copyleft statement comes with only implicit permission to redistribute it, sure. The associated license encourages copying and transitive licensing, and when such copying happens requires copying of the original copyleft statement unmodified.

However, the information is no longer private if the contribution was published online publicly by its author. A github PR is an example of something published online publicly.

For contributions sent privately, the maintainer has a CoC obligation to ask first.

It's still up to the maintainer to be certain that all their contributors understand the license they applied and the CoC they agreed to, so perhaps it is wisest to ask them up front or even each time. You could use a CLA for that if you must.

[**EDIT**: punctuation]
",['implicit']
19,"Self-deprecating humour is fine, provided it doesn't do splash damage¹. Most CoC enforcers would surely allow a comment like the above even though it's an immutable copyright statement. Despite it not being the person's full legal name: some people need to use 'nyms for basic safety.

However, to hypothetically extend the example above, if the person was comparing their appearance to stereotypical features of a named ethnic group at the receiving end of systemic oppression, that would be different. A CoC enforcer should notice, and would have the obligation and right to reject a PR containing it and/or ask for it to be changed at a later date if it was grandfathered in for some reason. Commits can be reverted, and doing so helps send the message that the project gives a damn

---

¹ From the VG and RPG ""term"":https://en.wikipedia.org/wiki/Splash_damage, meaning thoughtless actions that cause damage beyond the target. In this case the author of the self-dep humour is the target, but does their action cause others grief? Moral: take care when dropping stink bombs at your own feet, you may harm your friends.
","['rpg', 'basic']"
20,"Conversation has taken a different direction, but I'd like to point out a parallel to the concerns behind [the new subsection (d) of the Developer's Certificate of Origin added in version 1.1](http://developercertificate.org/). Kernel Trap covered the change [in a writeup](https://web.archive.org/web/20120409135119/http://kerneltrap.org/node/5277) that mentions UK data privacy law in particular.
",['parallel']
21,"Hi @adulau 

> When reading the code of conduct, I was wondering what is the legal implication and especially compatibility with free software licensing (as described by the FSF or the OSI) when using the code of conduct. Especially the following section:
> 
> > Publishing other's private information, such as physical or electronic
> > addresses, without explicit permission
> 
> It's very common for free software projects to include email address, name of contributors without explicit consent. As an example, when a contributor does a pull request, the contributor details are added in the commit logs and even sometime in a CONTRIBUTORS file. Even sometime, the ones doing the pull is not the contributor by herself/himself but another upstream manager of a repository.

I think there's a misunderstanding here that might be based in the fact that there's nuance to this statement in the covenant that requires some knowledge of harassment techniques online.

When harassing a person, it is common to ""dox"" them by obtaining addresses (physical or electronic), government issued identification numbers (Social Security Numbers, etc.), and information about the target's family online. This is what the covenant refers to, not the overly-literal interpretation you provide.

> Another potential issue is the authorization of modifying copyright statement by a project maintainer:
> 
> > Project maintainers have the right and responsibility to remove, edit, or
> > reject comments, commits, code, wiki edits, issues, and other contributions
> > that are not aligned to this Code of Conduct, or to ban temporarily or
> > permanently any contributor for other behaviors that they deem inappropriate,
> > threatening, offensive, or harmful.
> 
> An example, you might have a new file added to a project including the following copyright notice:
> 
> ```
> /* 
>  This code is licensed under the GNU General Public License version 2 or later.
>  Copyright (c) 2016 Alexandre ""aka Alex big nose"" Dulaunoy
> /*
> ```
> 
> So the contributor is basically having fun of himself (yes I have a big nose ;-) but the project maintainer feels that is inappropriate and fall into the category of "" personal appearance harassment"". So the code
> of conduct gives the right to the project maintainer to modify this copyright statement but this could
> be conflictual with the copyright (and author rights) of the contributor. By so, introducing a potential incompatibility with the free software license.

Self-deprecation is one form of humor and one that the author/creator owns. I don't see how this would cause someone else to have to modify that copyright statement. Since copyright statements are not modified, it should be rather clear who wrote that and it would be clear that this was not an insult.

You seem to also be unfamiliar with how people engaging in harassment tend to bombard a target with comments on their personal appearance to cause them emotional harm.

> Have you considered the potential incompatibilities between the code of conduct and free software licensing?

There are none when the covenant is read with the proper context. You seem to be the first person to have read these paragraphs this particular way. I wonder if this indicates a need for a separate place that has some context for these paragraphs.
",['creator']
22,"> What path can a person take to correct mistakes they might make?

Yeah, I was a bit of confused about whether I should take the concerns to the accused and ask them to explain themselves first? Do they have a ""right to face accuser"" or ""right to defend themselves""?
",
23,"I'd also like to say I'd love to see more talk about making amends in some way. What path can a person take to correct mistakes they might make? Some situations aren't always so black and white and I'm sure people get nervous they might make a mistake that will cause them to be banned. It seems super scary. 
",
24,"@CoralineAda will take a look next week. 

Also meant to ping you on a separate issue, the encoding on [this page for v1.3](http://contributor-covenant.org/version/1/3/0/hu/code_of_conduct.md) is incorrect. Do you want me to open an issue for that?
",['matlab']
25,"Yes please
",
26,"If no one is already doing it, I would be happy to contribute.
",['happy']
27,"I will have a look at it
",
